duration(m),UserID,age,gender,Score,recruit,Experiment,task,condition,Stimuli,Choice,CriticalStimuli,Response,Word,novelty
2792,188,26,female,159,Prolific,Two,Suffix ID,Unconditioned,Norl_nuwik.1,nuwikdup,Norl,dup,nuwik,old
3199,189,44,female,150,Prolific,One,Suffix ID,NoExposure,Norl_nuwik.1,nuwiknup,Norl,nup,nuwik,old
3090,190,34,male,146,Prolific,Two,Suffix ID,Conditioned,Norl_nuwik.1,nuwiknup,Norl,nup,nuwik,old
2702,191,33,female,162,Prolific,Two,Suffix ID,Unconditioned,Norl_nuwik.1,nuwiknup,Norl,nup,nuwik,old
2098,192,37,male,162,Prolific,One,Suffix ID,Exposure,Norl_nuwik.1,nuwiknup,Norl,nup,nuwik,old
2522,193,51,female,149,Prolific,One,Suffix ID,NoExposure,Norl_nuwik.1,nuwiknup,Norl,nup,nuwik,old
3531,194,27,female,155,Prolific,Two,Suffix ID,Conditioned,Norl_nuwik.1,nuwiknup,Norl,nup,nuwik,old
3147,195,24,male,152,Prolific,One,Suffix ID,Exposure,Norl_nuwik.1,nuwiknup,Norl,nup,nuwik,old
3092,196,NA,female,123,Prolific,Two,Suffix ID,Conditioned,Norl_nuwik.1,nuwiknup,Norl,nup,nuwik,old
5444,197,21,male,87,Prolific,One,Suffix ID,NoExposure,Norl_nuwik.1,nuwikdup,Norl,dup,nuwik,old
4068,198,44,female,159,Prolific,One,Suffix ID,Exposure,Norl_nuwik.1,nuwikdup,Norl,dup,nuwik,old
6316,199,27,female,168,Prolific,One,Suffix ID,NoExposure,Norl_nuwik.1,nuwiknup,Norl,nup,nuwik,old
2309,200,29,male,152,Prolific,Two,Suffix ID,Unconditioned,Norl_nuwik.1,nuwiknup,Norl,nup,nuwik,old
3493,201,26,female,116,Prolific,Two,Suffix ID,Conditioned,Norl_nuwik.1,nuwikdup,Norl,dup,nuwik,old
2306,202,30,female,166,Prolific,Two,Suffix ID,Conditioned,Norl_nuwik.1,nuwiknup,Norl,nup,nuwik,old
3231,203,59,female,166,Prolific,One,Suffix ID,Exposure,Norl_nuwik.1,nuwikdup,Norl,dup,nuwik,old
2373,204,26,female,156,Prolific,Two,Suffix ID,Unconditioned,Norl_nuwik.1,nuwiknup,Norl,nup,nuwik,old
2348,205,29,female,150,Prolific,One,Suffix ID,NoExposure,Norl_nuwik.1,nuwiknup,Norl,nup,nuwik,old
2144,1,18,female,144,Penn,One,Suffix ID,Exposure,Gulu_firot.1,firotnup,Gulu,nup,firot,old
2400,2,20,female,160,Penn,One,Suffix ID,NoExposure,Gulu_firot.1,firotdup,Gulu,dup,firot,old
3302,3,18,female,152,Penn,Two,Suffix ID,Unconditioned,Gulu_firot.1,firotnup,Gulu,nup,firot,old
3864,4,19,female,165,Penn,Two,Suffix ID,Conditioned,Gulu_firot.1,firotdup,Gulu,dup,firot,old
1984,5,20,male,167,Penn,Two,Suffix ID,Conditioned,Gulu_firot.1,firotdup,Gulu,dup,firot,old
1960,6,19,male,118,Penn,One,Suffix ID,Exposure,Gulu_firot.1,firotnup,Gulu,nup,firot,old
2779,7,19,female,150,Penn,One,Suffix ID,NoExposure,Gulu_firot.1,firotdup,Gulu,dup,firot,old
2542,8,20,female,154,Penn,Two,Suffix ID,Unconditioned,Gulu_firot.1,firotdup,Gulu,dup,firot,old
2745,9,19,female,166,Penn,Two,Suffix ID,Conditioned,Gulu_firot.1,firotdup,Gulu,dup,firot,old
2080,10,17,male,150,Penn,One,Suffix ID,NoExposure,Gulu_firot.1,firotdup,Gulu,dup,firot,old
2446,11,19,male,164,Penn,Two,Suffix ID,Unconditioned,Gulu_firot.1,firotdup,Gulu,dup,firot,old
5279,12,18,female,161,Penn,One,Suffix ID,Exposure,Gulu_firot.1,firotdup,Gulu,dup,firot,old
2254,13,20,male,157,Penn,One,Suffix ID,NoExposure,Gulu_firot.1,firotnup,Gulu,nup,firot,old
2629,14,20,female,162,Penn,Two,Suffix ID,Unconditioned,Gulu_firot.1,firotnup,Gulu,nup,firot,old
2498,15,20,female,166,Penn,Two,Suffix ID,Conditioned,Gulu_firot.1,firotdup,Gulu,dup,firot,old
2221,16,21,female,160,Penn,One,Suffix ID,Exposure,Gulu_firot.1,firotdup,Gulu,dup,firot,old
1836,17,19,female,148,Penn,One,Suffix ID,Exposure,Gulu_firot.1,firotdup,Gulu,dup,firot,old
2570,18,19,female,166,Penn,Two,Suffix ID,Conditioned,Gulu_firot.1,firotdup,Gulu,dup,firot,old
2903,19,21,female,154,Penn,Two,Suffix ID,Unconditioned,Gulu_firot.1,firotnup,Gulu,nup,firot,old
2670,20,22,female,156,Penn,One,Suffix ID,NoExposure,Gulu_firot.1,firotdup,Gulu,dup,firot,old
2836,21,20,male,162,Penn,Two,Suffix ID,Conditioned,Gulu_firot.1,firotdup,Gulu,dup,firot,old
3359,22,18,female,162,Penn,Two,Suffix ID,Unconditioned,Gulu_firot.1,firotdup,Gulu,dup,firot,old
2878,23,19,male,161,Penn,One,Suffix ID,Exposure,Gulu_firot.1,firotdup,Gulu,dup,firot,old
4435,24,19,female,96,Penn,One,Suffix ID,NoExposure,Gulu_firot.1,firotdup,Gulu,dup,firot,old
4236,25,18,female,168,Penn,Two,Suffix ID,Conditioned,Gulu_firot.1,firotdup,Gulu,dup,firot,old
2370,26,21,male,160,Penn,One,Suffix ID,Exposure,Gulu_firot.1,firotdup,Gulu,dup,firot,old
2450,27,21,female,150,Penn,Two,Suffix ID,Unconditioned,Gulu_firot.1,firotnup,Gulu,nup,firot,old
3364,28,18,male,154,Penn,One,Suffix ID,NoExposure,Gulu_firot.1,firotdup,Gulu,dup,firot,old
2400,29,19,male,139,Penn,Two,Suffix ID,Unconditioned,Gulu_firot.1,firotdup,Gulu,dup,firot,old
3277,30,20,female,166,Penn,One,Suffix ID,Exposure,Gulu_firot.1,firotdup,Gulu,dup,firot,old
1676,31,21,female,130,Penn,One,Suffix ID,NoExposure,Gulu_firot.1,firotdup,Gulu,dup,firot,old
2104,32,19,female,158,Penn,Two,Suffix ID,Conditioned,Gulu_firot.1,firotnup,Gulu,nup,firot,old
2515,33,20,female,156,Penn,Two,Suffix ID,Unconditioned,Gulu_firot.1,firotnup,Gulu,nup,firot,old
1858,34,20,male,146,Penn,One,Suffix ID,NoExposure,Gulu_firot.1,firotdup,Gulu,dup,firot,old
2446,35,20,male,163,Penn,Two,Suffix ID,Conditioned,Gulu_firot.1,firotdup,Gulu,dup,firot,old
2257,36,19,male,160,Penn,One,Suffix ID,Exposure,Gulu_firot.1,firotdup,Gulu,dup,firot,old
4986,37,22,female,109,Penn,Two,Suffix ID,Conditioned,Gulu_firot.1,firotdup,Gulu,dup,firot,old
3126,38,19,male,166,Penn,Two,Suffix ID,Unconditioned,Gulu_firot.1,firotdup,Gulu,dup,firot,old
2064,39,18,female,141,Penn,One,Suffix ID,NoExposure,Gulu_firot.1,firotdup,Gulu,dup,firot,old
2328,40,19,male,156,Penn,One,Suffix ID,Exposure,Gulu_firot.1,firotnup,Gulu,nup,firot,old
2155,41,19,female,142,Penn,One,Suffix ID,Exposure,Gulu_firot.1,firotdup,Gulu,dup,firot,old
2580,42,20,female,142,Penn,Two,Suffix ID,Conditioned,Gulu_firot.1,firotdup,Gulu,dup,firot,old
2020,43,17,female,151,Penn,Two,Suffix ID,Unconditioned,Gulu_firot.1,firotnup,Gulu,nup,firot,old
3066,44,18,female,153,Penn,One,Suffix ID,NoExposure,Gulu_firot.1,firotdup,Gulu,dup,firot,old
2257,45,21,male,113,Penn,One,Suffix ID,NoExposure,Gulu_firot.1,firotdup,Gulu,dup,firot,old
2410,46,19,female,163,Penn,Two,Suffix ID,Conditioned,Gulu_firot.1,firotdup,Gulu,dup,firot,old
3124,47,18,female,161,Penn,One,Suffix ID,Exposure,Gulu_firot.1,firotdup,Gulu,dup,firot,old
2022,48,18,male,154,Penn,Two,Suffix ID,Unconditioned,Gulu_firot.1,firotnup,Gulu,nup,firot,old
2551,49,23,male,150,Penn,Two,Suffix ID,Unconditioned,Gulu_firot.1,firotdup,Gulu,dup,firot,old
4398,50,20,female,153,Penn,One,Suffix ID,Exposure,Gulu_firot.1,firotnup,Gulu,nup,firot,old
2389,51,19,male,162,Penn,One,Suffix ID,NoExposure,Gulu_firot.1,firotdup,Gulu,dup,firot,old
3720,52,32,female,165,Penn,Two,Suffix ID,Conditioned,Gulu_firot.1,firotdup,Gulu,dup,firot,old
2509,53,20,female,157,Penn,Two,Suffix ID,Conditioned,Gulu_firot.1,firotdup,Gulu,dup,firot,old
2385,54,19,male,161,Penn,One,Suffix ID,Exposure,Gulu_firot.1,firotnup,Gulu,nup,firot,old
1895,55,22,female,164,Penn,Two,Suffix ID,Unconditioned,Gulu_firot.1,firotnup,Gulu,nup,firot,old
2786,57,20,male,162,Penn,One,Suffix ID,NoExposure,Gulu_firot.1,firotdup,Gulu,dup,firot,old
2776,58,19,male,153,Penn,One,Suffix ID,Exposure,Gulu_firot.1,firotnup,Gulu,nup,firot,old
2721,59,18,female,149,Penn,Two,Suffix ID,Conditioned,Gulu_firot.1,firotdup,Gulu,dup,firot,old
21059,60,19,female,165,Penn,Two,Suffix ID,Unconditioned,Gulu_firot.1,firotdup,Gulu,dup,firot,old
2397,61,19,female,160,Penn,One,Suffix ID,NoExposure,Gulu_firot.1,firotdup,Gulu,dup,firot,old
3116,62,20,male,162,Penn,One,Suffix ID,NoExposure,Gulu_firot.1,firotnup,Gulu,nup,firot,old
4622,63,20,male,164,Penn,Two,Suffix ID,Unconditioned,Gulu_firot.1,firotnup,Gulu,nup,firot,old
3388,64,22,male,164,Penn,One,Suffix ID,Exposure,Gulu_firot.1,firotnup,Gulu,nup,firot,old
2603,66,25,male,161,Prolific,Two,Suffix ID,Unconditioned,Gulu_firot.1,firotdup,Gulu,dup,firot,old
1818,67,33,male,142,Prolific,Two,Suffix ID,Unconditioned,Gulu_firot.1,firotdup,Gulu,dup,firot,old
3042,68,26,female,144,Prolific,One,Suffix ID,Exposure,Gulu_firot.1,firotnup,Gulu,nup,firot,old
2216,69,20,male,106,Prolific,Two,Suffix ID,Unconditioned,Gulu_firot.1,firotdup,Gulu,dup,firot,old
2567,70,28,female,154,Prolific,Two,Suffix ID,Conditioned,Gulu_firot.1,firotdup,Gulu,dup,firot,old
2651,71,30,male,160,Prolific,One,Suffix ID,Exposure,Gulu_firot.1,firotdup,Gulu,dup,firot,old
3052,72,26,male,158,Prolific,One,Suffix ID,Exposure,Gulu_firot.1,firotdup,Gulu,dup,firot,old
2597,73,22,female,160,Prolific,One,Suffix ID,NoExposure,Gulu_firot.1,firotdup,Gulu,dup,firot,old
3714,74,31,male,168,Prolific,One,Suffix ID,NoExposure,Gulu_firot.1,firotdup,Gulu,dup,firot,old
3626,75,46,female,163,Prolific,Two,Suffix ID,Conditioned,Gulu_firot.1,firotdup,Gulu,dup,firot,old
2630,76,26,female,165,Prolific,Two,Suffix ID,Conditioned,Gulu_firot.1,firotdup,Gulu,dup,firot,old
2883,77,55,female,154,Prolific,Two,Suffix ID,Unconditioned,Gulu_firot.1,firotdup,Gulu,dup,firot,old
2896,78,30,female,131,Prolific,Two,Suffix ID,Unconditioned,Gulu_firot.1,firotnup,Gulu,nup,firot,old
5072,79,21,female,158,Prolific,One,Suffix ID,Exposure,Gulu_firot.1,firotnup,Gulu,nup,firot,old
2523,80,24,male,136,Prolific,One,Suffix ID,Exposure,Gulu_firot.1,firotdup,Gulu,dup,firot,old
3571,81,27,female,152,Prolific,One,Suffix ID,Exposure,Gulu_firot.1,firotdup,Gulu,dup,firot,old
2721,82,24,female,142,Prolific,Two,Suffix ID,Unconditioned,Gulu_firot.1,firotdup,Gulu,dup,firot,old
5071,83,35,female,162,Prolific,Two,Suffix ID,Unconditioned,Gulu_firot.1,firotnup,Gulu,nup,firot,old
3341,84,30,female,133,Prolific,Two,Suffix ID,Conditioned,Gulu_firot.1,firotdup,Gulu,dup,firot,old
2949,85,22,female,162,Prolific,Two,Suffix ID,Conditioned,Gulu_firot.1,firotdup,Gulu,dup,firot,old
4681,86,20,female,160,Prolific,Two,Suffix ID,Conditioned,Gulu_firot.1,firotdup,Gulu,dup,firot,old
4192,87,48,male,163,Prolific,One,Suffix ID,NoExposure,Gulu_firot.1,firotdup,Gulu,dup,firot,old
2457,88,18,male,148,Prolific,Two,Suffix ID,Conditioned,Gulu_firot.1,firotdup,Gulu,dup,firot,old
2450,89,24,male,146,Prolific,Two,Suffix ID,Conditioned,Gulu_firot.1,firotnup,Gulu,nup,firot,old
2661,90,18,male,158,Prolific,One,Suffix ID,NoExposure,Gulu_firot.1,firotnup,Gulu,nup,firot,old
2794,91,25,male,164,Prolific,One,Suffix ID,NoExposure,Gulu_firot.1,firotdup,Gulu,dup,firot,old
4384,92,28,female,167,Prolific,One,Suffix ID,NoExposure,Gulu_firot.1,firotdup,Gulu,dup,firot,old
2592,93,19,female,160,Prolific,Two,Suffix ID,Unconditioned,Gulu_firot.1,firotdup,Gulu,dup,firot,old
2956,94,47,female,163,Prolific,One,Suffix ID,Exposure,Gulu_firot.1,firotdup,Gulu,dup,firot,old
4839,95,43,male,144,Prolific,One,Suffix ID,NoExposure,Gulu_firot.1,firotdup,Gulu,dup,firot,old
3309,96,33,male,163,Prolific,Two,Suffix ID,Conditioned,Gulu_firot.1,firotdup,Gulu,dup,firot,old
2636,97,40,female,157,Prolific,One,Suffix ID,NoExposure,Gulu_firot.1,firotdup,Gulu,dup,firot,old
3065,98,19,female,157,Prolific,Two,Suffix ID,Unconditioned,Gulu_firot.1,firotdup,Gulu,dup,firot,old
3248,99,55,female,160,Prolific,Two,Suffix ID,Unconditioned,Gulu_firot.1,firotnup,Gulu,nup,firot,old
2316,100,19,female,156,Prolific,Two,Suffix ID,Unconditioned,Gulu_firot.1,firotnup,Gulu,nup,firot,old
3644,101,68,female,161,Prolific,Two,Suffix ID,Unconditioned,Gulu_firot.1,firotdup,Gulu,dup,firot,old
2891,102,35,female,164,Prolific,Two,Suffix ID,Unconditioned,Gulu_firot.1,firotnup,Gulu,nup,firot,old
2446,103,24,female,163,Prolific,Two,Suffix ID,Conditioned,Gulu_firot.1,firotdup,Gulu,dup,firot,old
3028,104,47,female,164,Prolific,One,Suffix ID,Exposure,Gulu_firot.1,firotdup,Gulu,dup,firot,old
2692,105,32,female,112,Prolific,One,Suffix ID,NoExposure,Gulu_firot.1,firotdup,Gulu,dup,firot,old
2831,106,30,male,156,Prolific,Two,Suffix ID,Unconditioned,Gulu_firot.1,firotnup,Gulu,nup,firot,old
2787,107,28,male,154,Prolific,One,Suffix ID,Exposure,Gulu_firot.1,firotdup,Gulu,dup,firot,old
3068,108,45,female,142,Prolific,Two,Suffix ID,Conditioned,Gulu_firot.1,firotnup,Gulu,nup,firot,old
2852,109,19,male,163,Prolific,One,Suffix ID,Exposure,Gulu_firot.1,firotdup,Gulu,dup,firot,old
4647,110,20,male,155,Prolific,One,Suffix ID,NoExposure,Gulu_firot.1,firotdup,Gulu,dup,firot,old
3586,111,30,male,161,Prolific,One,Suffix ID,Exposure,Gulu_firot.1,firotdup,Gulu,dup,firot,old
3995,112,50,female,150,Prolific,One,Suffix ID,Exposure,Gulu_firot.1,firotnup,Gulu,nup,firot,old
2983,113,28,female,164,Prolific,Two,Suffix ID,Conditioned,Gulu_firot.1,firotdup,Gulu,dup,firot,old
2834,114,32,female,124,Prolific,One,Suffix ID,Exposure,Gulu_firot.1,firotdup,Gulu,dup,firot,old
2870,115,46,male,150,Prolific,Two,Suffix ID,Unconditioned,Gulu_firot.1,firotnup,Gulu,nup,firot,old
3316,116,42,female,131,Prolific,Two,Suffix ID,Conditioned,Gulu_firot.1,firotdup,Gulu,dup,firot,old
3928,117,38,female,151,Prolific,One,Suffix ID,Exposure,Gulu_firot.1,firotnup,Gulu,nup,firot,old
3337,118,30,female,158,Prolific,One,Suffix ID,NoExposure,Gulu_firot.1,firotnup,Gulu,nup,firot,old
2506,119,25,female,156,Prolific,One,Suffix ID,Exposure,Gulu_firot.1,firotnup,Gulu,nup,firot,old
4397,120,33,female,148,Prolific,One,Suffix ID,NoExposure,Gulu_firot.1,firotdup,Gulu,dup,firot,old
2942,121,36,female,165,Prolific,Two,Suffix ID,Unconditioned,Gulu_firot.1,firotdup,Gulu,dup,firot,old
4315,122,33,female,123,Prolific,Two,Suffix ID,Conditioned,Gulu_firot.1,firotnup,Gulu,nup,firot,old
3796,123,41,female,152,Prolific,One,Suffix ID,NoExposure,Gulu_firot.1,firotnup,Gulu,nup,firot,old
3622,124,25,male,143,Prolific,One,Suffix ID,NoExposure,Gulu_firot.1,firotdup,Gulu,dup,firot,old
2537,125,28,female,148,Prolific,One,Suffix ID,NoExposure,Gulu_firot.1,firotnup,Gulu,nup,firot,old
3844,126,23,male,168,Prolific,Two,Suffix ID,Conditioned,Gulu_firot.1,firotdup,Gulu,dup,firot,old
4522,127,30,male,161,Prolific,Two,Suffix ID,Unconditioned,Gulu_firot.1,firotnup,Gulu,nup,firot,old
2820,128,38,female,164,Prolific,Two,Suffix ID,Conditioned,Gulu_firot.1,firotdup,Gulu,dup,firot,old
2743,129,36,female,134,Prolific,One,Suffix ID,NoExposure,Gulu_firot.1,firotnup,Gulu,nup,firot,old
5124,130,34,female,144,Prolific,Two,Suffix ID,Unconditioned,Gulu_firot.1,firotdup,Gulu,dup,firot,old
2475,131,22,male,139,Prolific,One,Suffix ID,Exposure,Gulu_firot.1,firotnup,Gulu,nup,firot,old
2288,132,18,male,159,Prolific,Two,Suffix ID,Unconditioned,Gulu_firot.1,firotdup,Gulu,dup,firot,old
2535,133,29,female,154,Prolific,One,Suffix ID,Exposure,Gulu_firot.1,firotnup,Gulu,nup,firot,old
3839,134,78,male,145,Prolific,Two,Suffix ID,Conditioned,Gulu_firot.1,firotdup,Gulu,dup,firot,old
2341,135,42,male,146,Prolific,Two,Suffix ID,Conditioned,Gulu_firot.1,firotdup,Gulu,dup,firot,old
2665,136,73,male,113,Prolific,One,Suffix ID,Exposure,Gulu_firot.1,firotdup,Gulu,dup,firot,old
1905,137,31,female,163,Prolific,One,Suffix ID,NoExposure,Gulu_firot.1,firotnup,Gulu,nup,firot,old
3028,138,25,female,158,Prolific,Two,Suffix ID,Conditioned,Gulu_firot.1,firotdup,Gulu,dup,firot,old
2926,139,20,male,158,Prolific,One,Suffix ID,NoExposure,Gulu_firot.1,firotnup,Gulu,nup,firot,old
2923,140,28,female,163,Prolific,Two,Suffix ID,Unconditioned,Gulu_firot.1,firotnup,Gulu,nup,firot,old
2025,141,19,male,143,Prolific,Two,Suffix ID,Conditioned,Gulu_firot.1,firotdup,Gulu,dup,firot,old
2860,142,18,female,151,Prolific,Two,Suffix ID,Unconditioned,Gulu_firot.1,firotdup,Gulu,dup,firot,old
4951,143,36,female,158,Prolific,Two,Suffix ID,Unconditioned,Gulu_firot.1,firotnup,Gulu,nup,firot,old
2316,144,18,female,158,Prolific,One,Suffix ID,NoExposure,Gulu_firot.1,firotdup,Gulu,dup,firot,old
3920,145,26,female,155,Prolific,One,Suffix ID,Exposure,Gulu_firot.1,firotdup,Gulu,dup,firot,old
3796,146,51,female,161,Prolific,Two,Suffix ID,Conditioned,Gulu_firot.1,firotdup,Gulu,dup,firot,old
3745,147,65,male,161,Prolific,Two,Suffix ID,Conditioned,Gulu_firot.1,firotdup,Gulu,dup,firot,old
2574,148,24,female,164,Prolific,Two,Suffix ID,Conditioned,Gulu_firot.1,firotdup,Gulu,dup,firot,old
4331,149,46,female,143,Prolific,Two,Suffix ID,Unconditioned,Gulu_firot.1,firotdup,Gulu,dup,firot,old
3570,150,28,male,153,Prolific,One,Suffix ID,Exposure,Gulu_firot.1,firotnup,Gulu,nup,firot,old
2949,151,42,female,157,Prolific,Two,Suffix ID,Unconditioned,Gulu_firot.1,firotnup,Gulu,nup,firot,old
3443,152,46,male,143,Prolific,One,Suffix ID,NoExposure,Gulu_firot.1,firotnup,Gulu,nup,firot,old
2556,153,19,male,162,Prolific,One,Suffix ID,NoExposure,Gulu_firot.1,firotdup,Gulu,dup,firot,old
3497,154,45,female,149,Prolific,One,Suffix ID,Exposure,Gulu_firot.1,firotdup,Gulu,dup,firot,old
4317,155,63,female,164,Prolific,One,Suffix ID,NoExposure,Gulu_firot.1,firotnup,Gulu,nup,firot,old
3214,156,28,male,167,Prolific,Two,Suffix ID,Conditioned,Gulu_firot.1,firotdup,Gulu,dup,firot,old
2650,157,43,female,153,Prolific,Two,Suffix ID,Unconditioned,Gulu_firot.1,firotnup,Gulu,nup,firot,old
5207,158,41,female,156,Prolific,One,Suffix ID,Exposure,Gulu_firot.1,firotnup,Gulu,nup,firot,old
2734,159,26,male,131,Prolific,Two,Suffix ID,Conditioned,Gulu_firot.1,firotdup,Gulu,dup,firot,old
3151,160,24,female,157,Prolific,Two,Suffix ID,Unconditioned,Gulu_firot.1,firotdup,Gulu,dup,firot,old
2822,161,58,female,162,Prolific,Two,Suffix ID,Unconditioned,Gulu_firot.1,firotdup,Gulu,dup,firot,old
3410,162,28,female,145,Prolific,One,Suffix ID,NoExposure,Gulu_firot.1,firotnup,Gulu,nup,firot,old
3604,163,30,female,166,Prolific,One,Suffix ID,Exposure,Gulu_firot.1,firotnup,Gulu,nup,firot,old
3227,164,37,female,150,Prolific,Two,Suffix ID,Conditioned,Gulu_firot.1,firotnup,Gulu,nup,firot,old
5068,165,36,female,159,Prolific,One,Suffix ID,Exposure,Gulu_firot.1,firotdup,Gulu,dup,firot,old
2803,166,23,female,135,Prolific,One,Suffix ID,Exposure,Gulu_firot.1,firotnup,Gulu,nup,firot,old
3484,167,43,male,153,Prolific,One,Suffix ID,NoExposure,Gulu_firot.1,firotnup,Gulu,nup,firot,old
3473,168,52,female,163,Prolific,Two,Suffix ID,Unconditioned,Gulu_firot.1,firotdup,Gulu,dup,firot,old
2408,169,41,female,161,Prolific,Two,Suffix ID,Unconditioned,Gulu_firot.1,firotnup,Gulu,nup,firot,old
4160,170,24,female,151,Prolific,Two,Suffix ID,Conditioned,Gulu_firot.1,firotnup,Gulu,nup,firot,old
1817,171,24,male,155,Prolific,One,Suffix ID,NoExposure,Gulu_firot.1,firotdup,Gulu,dup,firot,old
4763,172,50,female,163,Prolific,One,Suffix ID,NoExposure,Gulu_firot.1,firotdup,Gulu,dup,firot,old
3105,173,24,male,154,Prolific,One,Suffix ID,Exposure,Gulu_firot.1,firotnup,Gulu,nup,firot,old
3788,174,29,female,161,Prolific,Two,Suffix ID,Conditioned,Gulu_firot.1,firotdup,Gulu,dup,firot,old
2589,175,26,female,150,Prolific,Two,Suffix ID,Conditioned,Gulu_firot.1,firotdup,Gulu,dup,firot,old
2903,176,18,male,155,Prolific,Two,Suffix ID,Unconditioned,Gulu_firot.1,firotdup,Gulu,dup,firot,old
4673,177,28,male,164,Prolific,One,Suffix ID,NoExposure,Gulu_firot.1,firotdup,Gulu,dup,firot,old
5108,178,24,male,162,Prolific,One,Suffix ID,Exposure,Gulu_firot.1,firotnup,Gulu,nup,firot,old
2428,179,23,male,154,Prolific,One,Suffix ID,NoExposure,Gulu_firot.1,firotnup,Gulu,nup,firot,old
2414,180,37,male,156,Prolific,Two,Suffix ID,Unconditioned,Gulu_firot.1,firotdup,Gulu,dup,firot,old
5819,181,58,female,160,Prolific,Two,Suffix ID,Conditioned,Gulu_firot.1,firotdup,Gulu,dup,firot,old
4361,182,22,male,156,Prolific,One,Suffix ID,Exposure,Gulu_firot.1,firotnup,Gulu,nup,firot,old
2711,183,31,female,164,Prolific,Two,Suffix ID,Unconditioned,Gulu_firot.1,firotdup,Gulu,dup,firot,old
3280,184,60,female,156,Prolific,One,Suffix ID,Exposure,Gulu_firot.1,firotdup,Gulu,dup,firot,old
5411,185,50,female,157,Prolific,One,Suffix ID,NoExposure,Gulu_firot.1,firotdup,Gulu,dup,firot,old
3497,186,28,female,158,Prolific,One,Suffix ID,Exposure,Gulu_firot.1,firotdup,Gulu,dup,firot,old
5367,187,44,female,155,Prolific,Two,Suffix ID,Conditioned,Gulu_firot.1,firotdup,Gulu,dup,firot,old
2792,188,26,female,159,Prolific,Two,Suffix ID,Unconditioned,Gulu_firot.1,firotnup,Gulu,nup,firot,old
3199,189,44,female,150,Prolific,One,Suffix ID,NoExposure,Gulu_firot.1,firotnup,Gulu,nup,firot,old
3090,190,34,male,146,Prolific,Two,Suffix ID,Conditioned,Gulu_firot.1,firotdup,Gulu,dup,firot,old
2702,191,33,female,162,Prolific,Two,Suffix ID,Unconditioned,Gulu_firot.1,firotnup,Gulu,nup,firot,old
2098,192,37,male,162,Prolific,One,Suffix ID,Exposure,Gulu_firot.1,firotdup,Gulu,dup,firot,old
2522,193,51,female,149,Prolific,One,Suffix ID,NoExposure,Gulu_firot.1,firotdup,Gulu,dup,firot,old
3531,194,27,female,155,Prolific,Two,Suffix ID,Conditioned,Gulu_firot.1,firotdup,Gulu,dup,firot,old
3147,195,24,male,152,Prolific,One,Suffix ID,Exposure,Gulu_firot.1,firotdup,Gulu,dup,firot,old
3092,196,NA,female,123,Prolific,Two,Suffix ID,Conditioned,Gulu_firot.1,firotdup,Gulu,dup,firot,old
5444,197,21,male,87,Prolific,One,Suffix ID,NoExposure,Gulu_firot.1,firotdup,Gulu,dup,firot,old
4068,198,44,female,159,Prolific,One,Suffix ID,Exposure,Gulu_firot.1,firotdup,Gulu,dup,firot,old
6316,199,27,female,168,Prolific,One,Suffix ID,NoExposure,Gulu_firot.1,firotdup,Gulu,dup,firot,old
2309,200,29,male,152,Prolific,Two,Suffix ID,Unconditioned,Gulu_firot.1,firotdup,Gulu,dup,firot,old
3493,201,26,female,116,Prolific,Two,Suffix ID,Conditioned,Gulu_firot.1,firotnup,Gulu,nup,firot,old
2306,202,30,female,166,Prolific,Two,Suffix ID,Conditioned,Gulu_firot.1,firotdup,Gulu,dup,firot,old
3231,203,59,female,166,Prolific,One,Suffix ID,Exposure,Gulu_firot.1,firotdup,Gulu,dup,firot,old
2373,204,26,female,156,Prolific,Two,Suffix ID,Unconditioned,Gulu_firot.1,firotdup,Gulu,dup,firot,old
2348,205,29,female,150,Prolific,One,Suffix ID,NoExposure,Gulu_firot.1,firotdup,Gulu,dup,firot,old
2144,1,18,female,144,Penn,One,Suffix ID,Exposure,Gulu_nuwik.1,nuwiknup,Gulu,nup,nuwik,old
2400,2,20,female,160,Penn,One,Suffix ID,NoExposure,Gulu_nuwik.1,nuwiknup,Gulu,nup,nuwik,old
3302,3,18,female,152,Penn,Two,Suffix ID,Unconditioned,Gulu_nuwik.1,nuwikdup,Gulu,dup,nuwik,old
3864,4,19,female,165,Penn,Two,Suffix ID,Conditioned,Gulu_nuwik.1,nuwikdup,Gulu,dup,nuwik,old
1984,5,20,male,167,Penn,Two,Suffix ID,Conditioned,Gulu_nuwik.1,nuwikdup,Gulu,dup,nuwik,old
1960,6,19,male,118,Penn,One,Suffix ID,Exposure,Gulu_nuwik.1,nuwikdup,Gulu,dup,nuwik,old
2779,7,19,female,150,Penn,One,Suffix ID,NoExposure,Gulu_nuwik.1,nuwikdup,Gulu,dup,nuwik,old
2542,8,20,female,154,Penn,Two,Suffix ID,Unconditioned,Gulu_nuwik.1,nuwikdup,Gulu,dup,nuwik,old
2745,9,19,female,166,Penn,Two,Suffix ID,Conditioned,Gulu_nuwik.1,nuwikdup,Gulu,dup,nuwik,old
2080,10,17,male,150,Penn,One,Suffix ID,NoExposure,Gulu_nuwik.1,nuwikdup,Gulu,dup,nuwik,old
2446,11,19,male,164,Penn,Two,Suffix ID,Unconditioned,Gulu_nuwik.1,nuwikdup,Gulu,dup,nuwik,old
5279,12,18,female,161,Penn,One,Suffix ID,Exposure,Gulu_nuwik.1,nuwikdup,Gulu,dup,nuwik,old
